NW,NB,CM,P_freq_uW_MHz_read,P_freq_uW_MHz_write,K_lut_read,K_lut_write
32,8,4,0.3522,0.3148,TBC,TBC
32,16,4,0.3522,0.3148,TBC,TBC
32,24,4,0.6256,0.5584,TBC,TBC
32,48,4,1.111,0.9742,TBC,TBC
32,64,4,1.439,1.251,TBC,TBC
32,80,4,1.768,1.529,TBC,TBC
32,120,4,2.589,2.222,0.5018,0.4501
32,160,4,4.201,3.643,0.4041,0.356
32,240,4,6.722,5.792,0.3711,0.3268
32,320,4,9.045,7.373,0.3636,0.3369
64,8,4,0.3522,0.3148,TBC,TBC
64,16,4,0.3522,0.3148,TBC,TBC
64,24,4,0.6256,0.5584,TBC,TBC
64,48,4,1.111,0.9742,TBC,TBC
64,64,4,1.439,1.251,TBC,TBC
64,80,4,1.768,1.529,TBC,TBC
64,120,4,2.589,2.222,0.5018,0.4501
64,160,4,4.201,3.643,0.4041,0.356
64,240,4,6.722,5.792,0.3711,0.3268
64,320,4,9.045,7.373,0.3636,0.3369
96,8,4,0.3522,0.3148,TBC,TBC
96,16,4,0.3522,0.3148,TBC,TBC
96,24,4,0.6256,0.5584,TBC,TBC
96,48,4,1.111,0.9742,TBC,TBC
96,64,4,1.439,1.251,TBC,TBC
96,80,4,1.768,1.529,TBC,TBC
96,120,4,2.589,2.222,0.5018,0.4501
96,160,4,4.201,3.643,0.4041,0.356
96,240,4,6.722,5.792,0.3711,0.3268
96,320,4,9.045,7.373,0.3636,0.3369
128,8,4,0.3522,0.3148,TBC,TBC
128,16,4,0.3522,0.3148,TBC,TBC
128,24,4,0.6256,0.5584,TBC,TBC
128,48,4,1.111,0.9742,TBC,TBC
128,64,4,1.439,1.251,TBC,TBC
128,80,4,1.768,1.529,TBC,TBC
128,120,4,2.589,2.222,0.5018,0.4501
128,160,4,4.201,3.643,0.4041,0.356
128,240,4,6.722,5.792,0.3711,0.3268
128,320,4,9.045,7.373,0.3636,0.3369
256,8,4,0.3522,0.3148,TBC,TBC
256,16,4,0.3522,0.3148,TBC,TBC
256,24,4,0.6732,0.6091,TBC,TBC
256,48,4,1.196,1.081,TBC,TBC
256,64,4,1.554,1.395,TBC,TBC
256,80,4,1.912,1.71,TBC,TBC
256,120,4,2.806,2.496,0.4631,0.4007
256,160,4,4.563,4.103,0.372,0.316
256,240,4,7.334,6.483,0.3402,0.2919
256,320,4,9.892,8.279,0.3324,0.3001
384,8,4,0.4076,0.3704,TBC,TBC
384,16,4,0.4076,0.3704,TBC,TBC
384,24,4,0.7208,0.6599,TBC,TBC
384,48,4,1.282,1.188,TBC,TBC
384,64,4,1.669,1.54,TBC,TBC
384,80,4,2.056,1.891,TBC,TBC
384,120,4,3.023,2.771,0.4298,0.3609
384,160,4,4.925,4.563,0.3446,0.2842
384,240,4,7.946,7.174,0.314,0.2638
384,320,4,10.74,9.186,0.3053,0.2694
512,8,4,0.436,0.3986,TBC,TBC
512,16,4,0.436,0.3986,TBC,TBC
512,24,4,0.7684,0.7123,TBC,TBC
512,48,4,1.371,1.294,TBC,TBC
512,64,4,1.783,1.684,TBC,TBC
512,80,4,2.2,2.073,TBC,TBC
512,120,4,3.241,3.046,0.4009,0.3283
512,160,4,5.287,5.023,0.321,0.2582
512,240,4,8.558,7.864,0.2915,0.2407
512,320,4,11.59,10.1,0.2829,0.2450
768,8,4,0.4658,0.4389,TBC,TBC
768,16,4,0.4658,0.4389,TBC,TBC
768,24,4,0.8073,0.7849,TBC,TBC
768,48,4,1.439,1.415,TBC,TBC
768,64,4,1.866,1.842,TBC,TBC
768,80,4,2.303,2.269,TBC,TBC
768,120,4,3.394,3.336,0.3828,0.3283
768,160,4,5.551,5.504,0.3058,0.2356
768,240,4,8.981,8.576,0.2778,0.2207
768,320,4,12.18,11.04,0.2700,0.2250
1024,8,4,0.4956,0.4793,TBC,TBC
1024,16,4,0.4956,0.4793,TBC,TBC
1024,24,4,0.8578,0.8574,TBC,TBC
1024,48,4,1.507,1.535,TBC,TBC
1024,64,4,1.949,2,TBC,TBC
1024,80,4,2.406,2.464,TBC,TBC
1024,120,4,3.548,3.626,0.3662,0.2758
1024,160,4,5.816,5.984,0.2918,0.2167
1024,240,4,9.403,9.288,0.2653,0.2038
1024,320,4,12.76,11.98,0.2577,0.2074
