Model,Type,Total sim time,Total Network latency
mobilenetv2,2DLinkspertile: 20,0.5596554279327393,0.0085588312143642
mobilenetv2,2DLinkspertile: 40,0.5316348075866699,0.005436426214364202
mobilenetv2,2DLinkspertile: 60,0.5620675086975098,0.004395624547697535
mobilenetv2,2DLinkspertile: 80,0.5692675113677979,0.0038752237143642003
vitbase,2DLinkspertile: 20,0.8161325454711914,0.018445612732441906
vitbase,2DLinkspertile: 40,0.7959182262420654,0.010951138332441906
vitbase,2DLinkspertile: 60,0.7737166881561279,0.008452980199108565
vitbase,2DLinkspertile: 80,0.7940826416015625,0.007203901132441904
gpt2,2DLinkspertile: 20,0.6573905944824219,0.15508045772381274
gpt2,2DLinkspertile: 40,0.640993595123291,0.09492259172381269
gpt2,2DLinkspertile: 60,0.6616477966308594,0.0748699697238127
gpt2,2DLinkspertile: 80,0.6792447566986084,0.06484365872381267
resnet50,2DLinkspertile: 20,0.5672287940979004,0.018209795185660897
resnet50,2DLinkspertile: 40,0.5869178771972656,0.011682619185660902
resnet50,2DLinkspertile: 60,0.5657787322998047,0.009506893852327563
resnet50,2DLinkspertile: 80,0.5569782257080078,0.008419031185660902
vgg16,2DLinkspertile: 20,0.3533477783203125,0.09540044228642838
vgg16,2DLinkspertile: 40,0.35996079444885254,0.05414512548642835
vgg16,2DLinkspertile: 60,0.34569334983825684,0.04039335321976168
vgg16,2DLinkspertile: 80,0.34688782691955566,0.03351746708642835
gemma1b,2DLinkspertile: 20,1.2198987007141113,0.28109140054758297
gemma1b,2DLinkspertile: 40,1.2278928756713867,0.1732224085475828
gemma1b,2DLinkspertile: 60,1.25901198387146,0.13726607788091616
gemma1b,2DLinkspertile: 80,1.2350635528564453,0.1192879125475829
llama,2DLinkspertile: 20,0.9965982437133789,0.05526297336911397
llama,2DLinkspertile: 40,0.9765260219573975,0.029483873969113936
llama,2DLinkspertile: 60,0.991586446762085,0.020890840835780626
llama,2DLinkspertile: 80,0.968297004699707,0.01659432426911394
qwen0.6b,2DLinkspertile: 20,1.2492809295654297,0.16049386694499412
qwen0.6b,2DLinkspertile: 40,1.2645235061645508,0.10023023814499407
qwen0.6b,2DLinkspertile: 60,1.268043041229248,0.08014236187832745
qwen0.6b,2DLinkspertile: 80,1.2491469383239746,0.0700984237449941
